EmployeeNumber,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition
325,33,14,3,Medical,Male,Married,Yes
327,43,16,3,Marketing,Female,Married,No
328,33,2,2,Life Sciences,Female,Married,Yes
329,52,2,4,Life Sciences,Male,Single,No
330,32,4,2,Life Sciences,Female,Married,No
331,32,1,3,Life Sciences,Male,Single,Yes
332,39,1,4,Medical,Female,Divorced,No
333,32,26,4,Marketing,Male,Married,No
334,41,19,2,Life Sciences,Male,Divorced,No
335,40,24,2,Technical Degree,Male,Divorced,No
336,45,1,3,Other,Male,Married,No
337,31,3,4,Medical,Male,Divorced,No
338,33,5,4,Life Sciences,Female,Married,No
339,34,2,4,Life Sciences,Male,Married,No
340,37,1,2,Medical,Female,Married,No
341,45,7,4,Life Sciences,Male,Married,No
342,37,10,3,Medical,Male,Divorced,Yes
343,39,2,4,Technical Degree,Female,Single,No
346,29,15,3,Life Sciences,Male,Single,No
347,42,17,2,Life Sciences,Female,Single,No
349,29,20,2,Marketing,Male,Divorced,No
350,25,1,3,Life Sciences,Female,Married,No
351,42,2,3,Medical,Female,Divorced,No
352,40,2,2,Medical,Male,Divorced,No
353,51,1,3,Life Sciences,Male,Married,No
355,31,29,2,Medical,Male,Single,Yes
359,32,7,3,Life Sciences,Male,Married,No
361,38,2,2,Life Sciences,Male,Married,No
362,32,2,1,Technical Degree,Male,Single,No
363,46,2,3,Technical Degree,Female,Married,No
364,28,2,4,Life Sciences,Male,Single,Yes
366,29,2,3,Medical,Male,Married,No
367,31,23,3,Medical,Male,Married,No
369,25,5,2,Life Sciences,Male,Divorced,No
372,45,20,2,Medical,Male,Married,No
373,36,6,3,Life Sciences,Male,Married,No
374,55,1,3,Medical,Male,Single,No
376,47,29,4,Life Sciences,Male,Married,Yes
377,28,9,3,Medical,Male,Married,No
378,37,6,4,Medical,Male,Married,No
379,21,3,2,Medical,Male,Single,No
380,37,1,4,Medical,Female,Divorced,No
381,35,22,3,Life Sciences,Female,Divorced,No
382,38,7,2,Medical,Female,Divorced,No
384,26,1,3,Life Sciences,Female,Divorced,No
385,50,4,1,Life Sciences,Male,Divorced,No
386,53,3,4,Medical,Male,Married,No
387,42,1,1,Life Sciences,Male,Married,No
388,29,2,2,Life Sciences,Male,Single,No
389,55,20,2,Technical Degree,Male,Married,No
390,26,11,2,Medical,Male,Married,No
391,37,1,3,Life Sciences,Female,Single,No
392,44,24,3,Life Sciences,Male,Divorced,Yes
393,38,23,4,Life Sciences,Male,Divorced,No
394,26,16,4,Medical,Male,Divorced,Yes
395,28,8,2,Life Sciences,Female,Single,No
396,49,10,4,Life Sciences,Female,Single,No
397,36,3,3,Technical Degree,Male,Single,No
399,31,5,3,Marketing,Female,Divorced,No
401,26,4,4,Marketing,Male,Single,Yes
403,37,9,3,Medical,Male,Married,No
404,42,26,3,Marketing,Female,Married,No
405,18,3,3,Life Sciences,Male,Single,Yes
406,35,16,3,Marketing,Male,Married,No
407,36,18,4,Life Sciences,Male,Married,No
408,51,2,3,Medical,Male,Divorced,No
410,41,2,4,Life Sciences,Male,Single,No
411,18,10,3,Medical,Female,Single,No
412,28,16,2,Medical,Male,Single,No
416,31,7,3,Technical Degree,Male,Married,No
417,39,1,3,Medical,Male,Divorced,No
419,36,24,4,Life Sciences,Female,Married,No
420,32,7,3,Life Sciences,Male,Married,No
421,38,25,2,Life Sciences,Female,Married,No
422,58,1,4,Life Sciences,Male,Divorced,No
423,31,5,4,Technical Degree,Male,Married,No
424,31,2,3,Human Resources,Male,Married,No
425,45,7,3,Life Sciences,Male,Divorced,No
426,31,2,4,Life Sciences,Male,Divorced,No
428,33,5,4,Life Sciences,Female,Married,No
429,39,10,1,Medical,Male,Married,No
430,43,10,4,Life Sciences,Female,Single,No
431,49,1,2,Technical Degree,Female,Single,No
433,52,8,4,Medical,Male,Married,Yes
434,27,5,3,Life Sciences,Female,Single,No
436,32,8,2,Technical Degree,Female,Married,No
437,27,2,3,Life Sciences,Male,Single,No
438,31,7,3,Marketing,Male,Divorced,No
439,32,2,4,Medical,Female,Single,No
440,28,2,4,Medical,Male,Married,Yes
441,30,28,2,Medical,Female,Married,No
442,31,7,2,Life Sciences,Female,Married,No
444,39,7,2,Medical,Male,Married,No
445,39,3,2,Medical,Female,Married,Yes
446,33,10,3,Marketing,Male,Single,No
447,47,5,5,Life Sciences,Male,Married,No
448,43,10,4,Life Sciences,Female,Divorced,No
449,27,1,1,Marketing,Male,Married,No
450,54,20,4,Life Sciences,Female,Single,No
451,43,7,3,Life Sciences,Female,Married,No
452,45,8,4,Other,Male,Married,No
453,40,1,2,Medical,Male,Married,No
454,29,8,4,Other,Male,Married,Yes
455,29,9,5,Other,Male,Single,No
456,30,5,3,Marketing,Female,Divorced,No
458,27,8,4,Marketing,Female,Married,No
460,37,5,2,Medical,Male,Divorced,No
461,38,15,2,Life Sciences,Male,Divorced,No
462,31,7,4,Medical,Female,Single,No
463,29,10,1,Marketing,Female,Divorced,No
464,35,5,4,Technical Degree,Male,Single,No
465,23,26,1,Life Sciences,Male,Divorced,No
466,41,6,3,Medical,Male,Single,No
467,47,4,1,Medical,Male,Single,No
468,42,23,5,Life Sciences,Female,Single,No
469,29,2,3,Life Sciences,Male,Married,No
470,42,2,1,Technical Degree,Male,Divorced,No
471,32,2,3,Medical,Female,Married,No
473,48,29,1,Medical,Female,Married,No
474,37,6,3,Medical,Male,Divorced,No
475,30,25,2,Technical Degree,Female,Married,No
476,26,1,3,Life Sciences,Male,Married,No
477,42,2,4,Other,Male,Single,No
478,21,1,1,Technical Degree,Female,Single,Yes
479,36,1,5,Medical,Female,Single,No
481,36,3,4,Medical,Male,Married,No
482,57,1,4,Medical,Male,Married,No
483,40,10,4,Life Sciences,Female,Married,No
484,21,9,2,Medical,Male,Single,No
485,33,5,3,Marketing,Female,Single,Yes
486,37,10,3,Medical,Female,Married,No
487,46,7,4,Medical,Female,Married,No
488,41,4,3,Marketing,Male,Single,Yes
491,50,10,3,Technical Degree,Male,Single,No
492,40,22,2,Marketing,Male,Married,Yes
493,31,9,4,Life Sciences,Male,Single,No
494,21,12,3,Life Sciences,Female,Single,Yes
495,29,23,3,Life Sciences,Male,Single,No
496,35,9,4,Life Sciences,Male,Single,No
497,27,1,2,Medical,Male,Divorced,No
498,28,9,4,Life Sciences,Male,Single,No
499,49,7,3,Other,Male,Single,No
500,51,14,2,Life Sciences,Female,Married,No
501,36,2,3,Life Sciences,Female,Married,No
502,34,19,3,Marketing,Male,Single,Yes
505,55,2,3,Life Sciences,Female,Single,No
507,24,10,4,Marketing,Female,Divorced,No
508,30,2,1,Technical Degree,Male,Married,No
510,26,3,1,Technical Degree,Male,Single,Yes
511,22,11,3,Medical,Female,Married,No
513,36,2,2,Medical,Male,Married,No
514,30,4,3,Technical Degree,Male,Single,Yes
515,37,14,3,Life Sciences,Female,Divorced,No
516,40,2,2,Marketing,Female,Divorced,No
517,42,1,4,Life Sciences,Female,Divorced,No
518,37,10,4,Life Sciences,Male,Single,No
520,43,12,3,Life Sciences,Male,Divorced,No
521,40,2,3,Medical,Female,Married,No
522,54,5,2,Medical,Male,Married,No
523,34,4,4,Marketing,Female,Married,No
524,31,7,2,Medical,Female,Married,No
525,43,21,3,Medical,Male,Married,No
526,43,8,4,Other,Female,Divorced,No
527,25,4,2,Life Sciences,Female,Single,No
529,37,25,5,Medical,Female,Married,No
530,31,1,2,Life Sciences,Male,Married,No
531,39,1,1,Life Sciences,Male,Divorced,No
532,56,6,3,Life Sciences,Female,Married,No
533,30,12,3,Technical Degree,Female,Single,No
534,41,1,3,Marketing,Male,Married,No
536,28,17,2,Medical,Male,Divorced,No
538,25,3,3,Medical,Male,Married,Yes
543,52,3,3,Medical,Male,Married,No
544,45,10,2,Life Sciences,Male,Married,No
546,52,4,2,Life Sciences,Female,Married,No
547,42,29,2,Life Sciences,Female,Divorced,No
548,30,2,3,Life Sciences,Female,Single,No
549,60,7,3,Life Sciences,Female,Married,No
550,46,18,3,Medical,Female,Divorced,No
551,42,28,4,Technical Degree,Female,Married,No
554,24,1,1,Technical Degree,Female,Single,Yes
555,34,6,2,Marketing,Female,Divorced,Yes
556,38,2,2,Life Sciences,Male,Married,No
558,40,2,4,Life Sciences,Female,Married,No
560,26,23,3,Life Sciences,Female,Divorced,No
562,30,3,3,Life Sciences,Male,Married,No
564,29,3,4,Medical,Male,Married,No
565,29,25,5,Technical Degree,Female,Married,Yes
566,19,2,2,Technical Degree,Male,Single,Yes
567,30,22,4,Other,Female,Married,No
568,57,29,3,Marketing,Male,Divorced,No
569,50,29,4,Life Sciences,Male,Married,No
571,30,2,3,Medical,Female,Single,No
573,60,28,3,Marketing,Female,Married,No
574,47,2,2,Medical,Female,Divorced,No
575,46,2,3,Life Sciences,Male,Married,No
577,35,22,3,Life Sciences,Male,Single,No
578,54,8,4,Life Sciences,Female,Single,No
579,34,2,4,Life Sciences,Male,Divorced,No
580,46,10,3,Marketing,Female,Married,No
581,31,9,1,Life Sciences,Male,Divorced,No
582,33,15,1,Medical,Male,Married,Yes
584,33,10,1,Medical,Male,Divorced,Yes
585,30,7,1,Marketing,Male,Single,No
586,35,16,3,Life Sciences,Male,Married,No
587,31,20,3,Life Sciences,Male,Married,Yes
590,34,23,3,Human Resources,Female,Divorced,Yes
591,42,5,2,Other,Male,Married,No
592,36,10,4,Medical,Male,Single,No
593,22,4,1,Technical Degree,Male,Single,Yes
595,48,2,5,Marketing,Female,Married,No
597,55,18,5,Life Sciences,Female,Single,No
599,41,10,2,Life Sciences,Male,Single,No
600,35,1,3,Marketing,Male,Married,No
601,40,6,3,Life Sciences,Female,Single,No
602,39,8,1,Life Sciences,Female,Married,No
604,31,2,1,Life Sciences,Male,Single,No
605,42,24,3,Medical,Male,Married,No
606,45,2,3,Other,Male,Married,No
608,26,17,4,Life Sciences,Female,Divorced,Yes
611,29,19,3,Technical Degree,Male,Divorced,No
612,33,1,5,Medical,Female,Divorced,No
613,31,7,3,Life Sciences,Male,Divorced,No
614,18,5,3,Marketing,Male,Single,Yes
615,40,28,3,Other,Male,Divorced,No
616,41,2,4,Other,Female,Single,No
618,26,29,2,Medical,Male,Divorced,No
620,35,1,3,Medical,Female,Single,No
621,34,21,4,Life Sciences,Male,Single,No
622,26,24,3,Technical Degree,Male,Single,Yes
623,37,1,3,Technical Degree,Female,Single,No
624,46,18,1,Medical,Female,Married,No
625,41,2,5,Life Sciences,Female,Married,No
626,37,9,4,Medical,Male,Divorced,No
630,52,6,2,Technical Degree,Male,Divorced,No
631,32,11,4,Other,Male,Married,Yes
632,24,24,3,Medical,Male,Married,No
634,38,10,3,Medical,Female,Married,No
635,37,1,4,Life Sciences,Female,Married,No
638,49,18,4,Life Sciences,Male,Divorced,No
639,24,23,3,Medical,Male,Married,No
641,26,28,2,Marketing,Male,Married,No
643,24,17,2,Other,Male,Married,No
644,50,3,3,Medical,Male,Married,No
645,25,13,1,Medical,Male,Married,No
647,24,7,3,Life Sciences,Female,Married,Yes
648,30,12,4,Life Sciences,Male,Married,Yes
649,34,1,2,Life Sciences,Male,Married,No
650,31,13,4,Medical,Male,Divorced,Yes
652,35,25,2,Other,Male,Single,No
653,31,6,4,Medical,Male,Divorced,No
655,27,6,4,Medical,Female,Divorced,No
656,37,2,3,Marketing,Male,Married,No
657,20,1,3,Life Sciences,Female,Single,No
659,42,2,4,Life Sciences,Female,Married,No
661,43,6,4,Other,Male,Divorced,No
662,38,1,1,Life Sciences,Female,Single,No
663,43,9,5,Medical,Male,Divorced,No
664,48,1,4,Life Sciences,Female,Married,No
665,44,1,4,Life Sciences,Female,Single,No
666,34,14,3,Technical Degree,Female,Divorced,No
667,27,2,1,Marketing,Male,Divorced,Yes
669,21,22,1,Technical Degree,Male,Single,No
671,44,3,4,Other,Male,Married,No
675,22,6,1,Medical,Male,Married,No
677,33,8,4,Marketing,Male,Divorced,No
679,32,9,4,Life Sciences,Female,Married,No
680,30,3,3,Medical,Female,Divorced,No
682,53,1,1,Medical,Female,Single,No
683,34,1,5,Life Sciences,Male,Married,No
684,45,26,4,Life Sciences,Female,Married,Yes
686,26,6,3,Life Sciences,Female,Married,No
689,37,3,3,Other,Male,Married,No
690,29,3,2,Medical,Female,Married,No
691,35,6,4,Life Sciences,Male,Single,No
692,33,6,3,Life Sciences,Male,Divorced,No
698,54,19,4,Medical,Male,Married,No
699,36,9,2,Medical,Male,Divorced,No
700,27,3,4,Medical,Male,Single,No
701,20,10,1,Medical,Male,Single,Yes
702,33,3,3,Life Sciences,Male,Single,Yes
704,35,3,3,Life Sciences,Male,Married,No
705,23,4,3,Medical,Male,Married,No
707,25,8,3,Life Sciences,Male,Married,No
709,38,7,4,Marketing,Female,Single,No
710,29,1,4,Life Sciences,Male,Divorced,No
712,48,2,1,Marketing,Male,Married,No
714,27,3,1,Medical,Female,Divorced,No
715,37,10,2,Life Sciences,Male,Single,No
716,50,28,1,Medical,Male,Married,No
717,34,9,3,Medical,Female,Single,No
720,24,3,2,Life Sciences,Female,Single,Yes
721,39,2,4,Technical Degree,Female,Single,No
722,32,10,3,Marketing,Male,Single,No
723,50,8,2,Technical Degree,Male,Married,Yes
724,38,1,4,Life Sciences,Female,Single,No
725,27,1,2,Life Sciences,Female,Married,No
727,32,3,2,Life Sciences,Female,Single,No
728,47,14,4,Marketing,Male,Single,No
729,40,5,4,Life Sciences,Male,Married,No
730,53,7,3,Life Sciences,Male,Married,No
731,41,10,4,Human Resources,Male,Divorced,No
732,60,16,4,Marketing,Male,Single,No
733,27,10,2,Life Sciences,Male,Divorced,No
734,41,1,3,Human Resources,Male,Married,No
738,50,8,4,Marketing,Male,Married,No
741,28,1,2,Life Sciences,Female,Single,Yes
742,36,8,3,Life Sciences,Female,Married,No
743,38,1,3,Life Sciences,Female,Single,No
744,44,24,3,Medical,Male,Single,No
746,47,3,3,Medical,Female,Divorced,No
747,30,27,5,Marketing,Male,Divorced,No
749,29,10,3,Life Sciences,Male,Single,No
752,42,19,3,Medical,Male,Divorced,Yes
754,43,15,3,Life Sciences,Male,Married,No
757,34,8,2,Medical,Female,Single,No
758,23,9,1,Medical,Male,Married,No
760,39,3,3,Human Resources,Female,Married,No
762,56,9,3,Medical,Male,Married,No
763,40,2,1,Medical,Female,Single,No
764,27,7,3,Medical,Female,Single,No
766,29,10,3,Marketing,Male,Divorced,No
769,53,6,3,Life Sciences,Male,Single,No
771,35,2,4,Life Sciences,Female,Divorced,No
772,32,24,4,Life Sciences,Male,Married,No
773,38,2,5,Medical,Male,Married,No
775,34,8,5,Life Sciences,Female,Divorced,No
776,52,3,4,Marketing,Male,Married,No
780,33,1,4,Other,Male,Single,Yes
781,25,26,1,Medical,Female,Single,No
783,45,2,2,Technical Degree,Male,Single,No
784,23,10,1,Medical,Male,Single,No
785,47,27,2,Life Sciences,Female,Single,Yes
786,34,2,3,Other,Male,Single,No
787,55,2,3,Medical,Male,Married,Yes
789,36,8,4,Life Sciences,Male,Single,No
791,52,19,4,Medical,Male,Married,No
792,26,1,2,Life Sciences,Female,Divorced,No
793,29,27,3,Medical,Female,Married,No
796,26,8,3,Technical Degree,Male,Single,Yes
797,34,1,4,Life Sciences,Female,Single,No
799,54,19,4,Medical,Female,Divorced,No
800,27,8,1,Marketing,Male,Married,No
802,37,10,1,Life Sciences,Female,Divorced,No
803,38,2,4,Life Sciences,Female,Single,No
804,34,2,4,Medical,Female,Single,No
805,35,8,4,Life Sciences,Female,Married,No
806,30,1,3,Life Sciences,Male,Married,No
807,40,2,2,Medical,Female,Married,No
808,34,8,2,Life Sciences,Female,Married,No
809,42,8,3,Life Sciences,Male,Divorced,No
811,23,6,3,Life Sciences,Male,Married,Yes
812,24,9,3,Life Sciences,Male,Divorced,No
813,52,11,4,Life Sciences,Female,Married,No
815,50,2,3,Medical,Male,Married,No
816,29,1,2,Life Sciences,Female,Married,Yes
817,33,7,3,Medical,Male,Married,No
819,33,16,3,Marketing,Female,Single,Yes
820,47,2,2,Other,Female,Married,No
823,36,1,3,Other,Female,Married,No
824,29,23,2,Life Sciences,Male,Married,No
825,58,2,4,Life Sciences,Male,Single,Yes
826,35,1,4,Life Sciences,Female,Single,No
827,42,1,2,Life Sciences,Female,Married,No
828,28,2,4,Medical,Male,Single,Yes
829,36,13,3,Human Resources,Male,Married,No
830,32,4,3,Life Sciences,Female,Married,No
832,40,16,4,Medical,Male,Single,No
833,30,2,3,Medical,Female,Single,No
834,45,2,3,Life Sciences,Female,Single,No
836,42,29,3,Life Sciences,Male,Married,No
837,38,12,3,Life Sciences,Male,Divorced,No
838,34,16,4,Life Sciences,Female,Single,No
840,49,11,3,Marketing,Female,Married,Yes
842,55,2,1,Medical,Male,Single,Yes
843,43,14,2,Life Sciences,Male,Married,No
844,27,5,1,Technical Degree,Male,Divorced,No
845,35,7,3,Other,Male,Single,No
846,28,2,4,Marketing,Female,Married,No
847,34,3,2,Human Resources,Male,Married,No
848,26,5,2,Medical,Female,Married,Yes
850,27,3,3,Medical,Male,Married,No
851,51,26,4,Marketing,Female,Married,No
852,44,4,3,Medical,Male,Single,No
854,25,2,1,Medical,Male,Single,No
855,33,1,3,Medical,Male,Divorced,No
856,35,27,1,Medical,Female,Single,No
857,36,1,2,Life Sciences,Male,Married,No
