EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
33,2,1,1,Research & Development,Research Scientist,1,3919,1,Yes,4,10,10,2,6
35,3,3,2,Sales,Sales Executive,2,6825,0,No,3,10,9,7,4
36,1,2,3,Research & Development,Healthcare Representative,4,10248,3,No,3,24,22,6,5
38,2,3,5,Sales,Manager,1,18947,3,No,3,22,2,2,2
39,3,3,1,Research & Development,Laboratory Technician,4,2496,4,No,3,7,1,1,0
40,4,3,2,Research & Development,Healthcare Representative,4,6465,2,Yes,3,9,4,2,1
41,4,2,1,Research & Development,Laboratory Technician,3,2206,1,No,3,10,10,0,1
42,4,3,2,Sales,Sales Representative,4,2086,3,No,3,19,1,0,0
45,2,3,1,Research & Development,Research Scientist,4,2293,2,Yes,3,6,2,0,2
46,4,4,1,Research & Development,Research Scientist,3,2645,1,No,3,6,5,3,1
47,1,2,1,Sales,Sales Representative,3,2683,1,Yes,3,3,3,2,0
49,4,3,1,Sales,Sales Representative,4,2014,1,No,3,2,2,2,2
51,2,2,1,Research & Development,Research Scientist,1,3419,9,Yes,3,6,1,1,0
52,3,4,2,Sales,Sales Executive,1,5376,2,No,3,10,5,3,1
53,3,3,1,Research & Development,Laboratory Technician,4,1951,1,No,3,1,1,0,0
54,4,3,1,Research & Development,Laboratory Technician,1,2341,1,No,3,1,1,0,0
55,1,1,1,Research & Development,Laboratory Technician,3,2293,1,No,3,1,1,0,0
56,4,3,3,Sales,Sales Executive,3,8726,1,No,3,9,9,8,1
57,3,3,2,Research & Development,Laboratory Technician,4,4011,1,No,4,12,12,8,3
58,2,3,5,Research & Development,Research Director,3,19545,1,No,3,23,22,15,15
60,2,3,2,Sales,Sales Executive,3,4568,0,No,4,10,9,5,8
61,2,3,1,Research & Development,Research Scientist,2,3022,4,No,4,8,1,0,0
62,1,3,2,Sales,Sales Executive,4,5772,4,Yes,4,14,9,6,0
63,4,4,1,Research & Development,Laboratory Technician,4,2269,1,No,3,1,1,0,0
64,1,2,3,Research & Development,Laboratory Technician,3,5381,9,Yes,3,23,1,0,0
65,3,3,1,Research & Development,Laboratory Technician,3,3441,1,Yes,3,2,2,2,2
68,2,3,2,Sales,Sales Executive,1,5454,5,Yes,4,9,4,3,1
70,3,2,3,Research & Development,Healthcare Representative,1,9884,2,Yes,3,10,4,0,2
72,3,2,2,Sales,Sales Executive,4,4157,7,Yes,3,5,2,2,0
73,1,3,3,Research & Development,Research Director,4,13458,1,Yes,3,15,15,14,8
74,2,3,3,Sales,Sales Executive,1,9069,1,No,4,9,9,8,1
75,3,3,1,Research & Development,Laboratory Technician,1,4014,3,Yes,3,4,2,2,2
76,4,3,2,Research & Development,Laboratory Technician,4,5915,3,No,4,10,7,7,1
77,1,2,2,Research & Development,Manufacturing Director,3,5993,1,No,3,7,7,5,0
78,1,3,2,Research & Development,Manufacturing Director,4,6162,1,Yes,4,9,9,8,7
79,4,3,2,Research & Development,Laboratory Technician,4,2406,1,No,3,10,10,3,9
80,2,2,5,Research & Development,Research Director,3,18740,5,Yes,3,29,27,3,13
81,1,3,3,Sales,Sales Executive,1,7637,7,No,3,28,21,16,7
83,3,3,3,Research & Development,Healthcare Representative,3,10096,1,No,3,17,17,14,12
84,4,3,4,Research & Development,Manager,3,14756,2,Yes,3,21,5,0,0
85,2,2,2,Research & Development,Manufacturing Director,2,6499,1,No,3,6,6,5,0
86,2,3,3,Research & Development,Research Scientist,1,9724,2,No,3,25,1,0,0
88,2,3,1,Research & Development,Research Scientist,1,2194,4,No,3,5,3,2,1
90,4,2,1,Research & Development,Research Scientist,3,3388,0,Yes,3,2,1,0,0
91,1,2,2,Sales,Sales Executive,3,5473,7,No,3,20,4,3,1
94,3,3,1,Research & Development,Research Scientist,2,2703,0,No,4,6,5,4,0
95,3,3,1,Research & Development,Research Scientist,2,2501,1,No,3,1,1,1,1
96,2,3,2,Research & Development,Research Scientist,2,6220,1,No,3,10,10,4,0
97,2,4,1,Research & Development,Laboratory Technician,4,3038,3,No,3,5,1,0,0
98,3,3,2,Research & Development,Manufacturing Director,4,4424,1,No,4,11,11,7,1
100,3,2,2,Sales,Sales Executive,1,4312,0,No,3,16,15,13,2
101,4,3,3,Research & Development,Research Director,1,13245,4,Yes,3,17,0,0,0
102,1,3,3,Research & Development,Research Director,3,13664,4,No,3,16,5,2,0
103,2,3,2,Human Resources,Human Resources,2,5021,8,Yes,4,16,4,2,0
104,4,2,2,Research & Development,Laboratory Technician,4,5126,1,Yes,3,10,10,8,3
105,2,2,1,Research & Development,Research Scientist,3,2859,1,No,3,6,6,4,0
106,1,3,3,Sales,Sales Executive,4,10239,3,No,3,24,1,0,1
107,2,1,2,Research & Development,Research Scientist,4,5329,7,Yes,3,17,13,11,1
110,1,3,2,Research & Development,Manufacturing Director,2,4325,1,No,3,5,5,2,1
112,4,1,3,Research & Development,Manufacturing Director,4,7260,4,No,3,37,6,4,0
113,3,3,1,Sales,Sales Representative,1,2322,3,No,3,3,0,0,0
116,4,3,1,Research & Development,Laboratory Technician,4,2075,3,No,4,10,4,2,0
117,3,2,2,Research & Development,Healthcare Representative,4,4152,1,No,3,11,11,10,10
118,3,2,3,Sales,Sales Executive,4,9619,1,No,3,9,9,8,4
119,3,2,4,Research & Development,Healthcare Representative,2,13503,1,No,4,22,22,3,11
120,3,3,2,Sales,Sales Executive,4,5441,0,Yes,4,11,10,7,1
121,3,2,2,Sales,Sales Executive,2,5209,1,Yes,3,11,11,8,2
124,3,2,3,Research & Development,Healthcare Representative,1,10673,2,Yes,3,21,10,9,9
125,2,3,2,Sales,Sales Executive,3,5010,1,No,3,12,11,8,5
126,1,3,3,Research & Development,Research Director,3,13549,9,No,3,16,4,3,0
128,1,3,2,Sales,Sales Executive,3,4999,0,No,4,4,3,2,0
129,2,3,2,Sales,Sales Executive,3,4221,1,No,3,5,5,4,0
131,4,3,4,Sales,Sales Executive,3,13872,0,No,3,38,37,10,1
132,2,3,2,Research & Development,Laboratory Technician,2,2042,4,No,3,17,3,2,1
133,3,3,1,Human Resources,Human Resources,1,2073,4,Yes,4,7,3,2,0
134,4,3,1,Research & Development,Research Scientist,1,2956,1,No,3,1,1,0,0
137,4,2,1,Research & Development,Laboratory Technician,4,2926,1,Yes,3,1,1,0,1
138,1,3,2,Research & Development,Research Scientist,3,4809,1,No,3,16,16,13,2
139,3,2,2,Research & Development,Healthcare Representative,4,5163,5,No,3,17,1,0,0
140,3,2,5,Human Resources,Manager,4,18844,9,No,4,30,3,2,2
141,1,3,5,Research & Development,Research Director,2,18172,3,Yes,3,28,8,3,0
142,3,2,2,Sales,Sales Executive,3,5744,1,Yes,3,6,6,4,0
143,4,2,1,Research & Development,Research Scientist,4,2889,1,No,3,2,2,2,2
144,2,3,1,Research & Development,Laboratory Technician,4,2871,1,No,3,1,0,0,0
145,1,2,3,Research & Development,Healthcare Representative,1,7484,3,No,4,23,13,12,12
147,1,1,2,Research & Development,Laboratory Technician,3,6074,1,Yes,4,9,9,7,0
148,4,4,4,Human Resources,Manager,4,17328,2,Yes,3,23,5,3,4
150,2,3,1,Research & Development,Laboratory Technician,3,2774,0,No,3,6,5,3,1
151,3,2,2,Research & Development,Research Scientist,2,4505,6,No,3,12,1,0,0
152,3,3,3,Sales,Sales Executive,4,7428,2,No,3,12,5,3,1
153,3,2,3,Research & Development,Manager,1,11631,2,No,3,14,11,10,5
154,2,3,3,Sales,Sales Executive,4,9738,0,No,3,10,9,7,2
155,1,3,1,Research & Development,Laboratory Technician,4,2835,5,No,4,7,1,0,0
158,3,3,4,Sales,Manager,4,16959,1,Yes,3,25,25,12,4
159,1,1,1,Research & Development,Research Scientist,3,2613,1,No,4,10,10,7,0
160,3,3,2,Sales,Sales Executive,2,6146,0,No,3,8,7,7,0
161,2,3,1,Research & Development,Research Scientist,2,4963,9,Yes,3,7,5,4,4
162,1,3,5,Research & Development,Research Director,3,19537,7,No,3,23,20,18,15
163,2,1,2,Sales,Sales Executive,3,6172,4,Yes,3,12,7,7,7
164,3,2,1,Research & Development,Research Scientist,2,2368,1,No,3,5,5,4,4
165,4,3,3,Research & Development,Healthcare Representative,4,10312,1,No,3,40,40,10,15
167,4,3,1,Sales,Sales Representative,3,1675,1,Yes,3,0,0,0,0
169,3,3,1,Research & Development,Laboratory Technician,4,2523,0,No,3,3,2,1,2
170,3,3,2,Research & Development,Manufacturing Director,1,6567,1,No,3,16,15,11,5
171,2,4,1,Research & Development,Research Scientist,3,4739,4,No,3,18,3,2,1
174,3,3,3,Sales,Sales Executive,4,9208,4,No,3,16,2,2,2
175,2,1,2,Sales,Sales Executive,3,4559,3,Yes,3,4,2,2,2
176,3,3,3,Sales,Sales Executive,3,8189,3,Yes,3,12,9,7,0
177,3,3,1,Human Resources,Human Resources,3,2942,1,No,4,8,8,7,5
178,2,3,2,Research & Development,Manufacturing Director,2,4941,6,No,4,7,3,2,0
179,1,1,3,Research & Development,Manufacturing Director,4,10650,2,No,3,18,4,2,0
182,4,2,2,Sales,Sales Executive,3,5902,4,No,3,17,15,11,5
183,1,2,2,Sales,Sales Executive,3,8639,2,No,3,6,2,2,2
184,3,3,2,Human Resources,Human Resources,4,6347,0,Yes,3,12,11,9,4
190,1,3,1,Research & Development,Laboratory Technician,1,4200,7,No,4,10,5,4,0
192,3,3,1,Research & Development,Research Scientist,4,3452,5,No,3,9,6,5,0
193,4,3,2,Research & Development,Research Scientist,3,4317,3,Yes,4,19,3,2,2
194,1,3,1,Research & Development,Research Scientist,3,2632,1,No,3,5,5,4,0
195,4,1,2,Sales,Sales Executive,4,4668,0,No,3,9,8,7,0
197,4,3,1,Research & Development,Research Scientist,1,3204,5,No,3,8,3,2,2
198,2,2,1,Research & Development,Laboratory Technician,4,2720,0,No,3,6,5,3,1
199,4,2,4,Research & Development,Manager,1,17181,4,No,3,21,7,6,7
200,3,3,1,Research & Development,Laboratory Technician,1,2238,2,No,4,7,5,0,1
201,2,3,1,Research & Development,Laboratory Technician,2,1483,1,No,3,1,1,0,0
202,2,3,2,Research & Development,Research Scientist,2,5605,1,No,3,20,20,7,2
204,3,3,3,Sales,Sales Executive,2,7295,1,No,3,10,10,8,0
205,2,3,2,Sales,Sales Representative,3,2306,2,Yes,4,13,7,7,4
206,2,3,2,Research & Development,Laboratory Technician,2,2348,8,No,3,20,17,9,0
207,2,3,3,Sales,Sales Executive,4,8998,1,No,3,9,9,8,3
208,4,3,2,Research & Development,Manufacturing Director,3,4319,1,No,3,10,10,7,0
211,2,2,2,Research & Development,Manufacturing Director,3,6132,2,No,3,10,1,0,0
214,2,2,1,Research & Development,Research Scientist,2,3346,4,Yes,4,9,1,0,0
215,3,2,3,Sales,Sales Executive,4,10855,7,No,3,15,12,11,2
216,3,3,1,Sales,Sales Representative,3,2231,6,No,3,6,4,3,1
217,3,3,1,Research & Development,Research Scientist,4,2323,1,No,4,2,2,2,2
218,4,3,1,Research & Development,Research Scientist,2,2024,6,No,3,6,2,2,2
221,3,3,1,Research & Development,Research Scientist,4,2713,1,No,3,5,5,2,0
223,3,4,3,Research & Development,Healthcare Representative,4,9439,3,Yes,3,12,5,3,1
224,3,2,1,Research & Development,Research Scientist,3,2566,1,Yes,3,1,1,1,0
226,3,3,5,Research & Development,Manager,2,19926,3,No,3,21,5,4,4
227,1,3,1,Research & Development,Research Scientist,3,2451,4,No,3,13,9,8,1
228,2,3,3,Sales,Sales Executive,4,9419,2,No,3,12,10,9,7
230,1,2,2,Sales,Sales Executive,4,8686,4,No,4,12,8,3,0
231,3,3,1,Research & Development,Research Scientist,3,3038,3,No,4,8,5,4,1
233,3,3,1,Research & Development,Research Scientist,2,3058,0,Yes,3,6,5,2,1
235,3,1,1,Sales,Sales Representative,1,2325,0,No,4,1,0,0,0
238,4,3,1,Research & Development,Laboratory Technician,2,2088,4,No,3,13,8,7,7
239,3,3,2,Research & Development,Laboratory Technician,1,3072,1,No,3,12,12,9,6
240,3,3,2,Sales,Sales Executive,1,5006,4,Yes,3,9,5,4,0
241,3,3,1,Research & Development,Research Scientist,1,4257,4,Yes,3,19,2,2,2
242,3,3,1,Research & Development,Research Scientist,4,2500,0,No,3,4,3,1,0
243,2,2,1,Research & Development,Laboratory Technician,4,1102,1,No,4,1,1,0,1
244,2,3,3,Sales,Sales Executive,1,10453,1,No,4,24,24,13,15
245,3,3,1,Research & Development,Laboratory Technician,4,2288,1,No,3,2,2,2,2
246,3,3,1,Research & Development,Research Scientist,4,3929,8,Yes,4,7,4,2,0
247,4,3,1,Research & Development,Research Scientist,2,2311,2,No,3,9,3,2,1
248,2,3,1,Sales,Sales Representative,2,3140,1,Yes,4,4,4,3,0
249,3,2,1,Research & Development,Laboratory Technician,3,3690,2,No,3,5,3,2,0
250,4,4,2,Research & Development,Manufacturing Director,1,4450,1,No,3,5,4,2,1
252,4,3,1,Research & Development,Research Scientist,2,2756,1,No,3,8,8,7,1
253,4,3,5,Research & Development,Manager,3,19033,1,No,3,21,20,8,9
254,3,4,5,Research & Development,Research Director,2,18722,8,No,3,36,24,15,2
256,4,2,2,Research & Development,Manufacturing Director,3,9547,1,No,3,10,10,9,1
258,4,3,4,Research & Development,Healthcare Representative,2,13734,3,No,3,21,7,7,1
259,3,2,5,Research & Development,Manager,3,19999,0,No,3,34,33,18,11
260,4,3,1,Research & Development,Research Scientist,2,2279,1,No,3,7,7,7,0
261,2,2,2,Research & Development,Manufacturing Director,3,5916,3,Yes,3,8,1,0,0
262,4,4,1,Research & Development,Research Scientist,4,2089,4,No,3,7,5,4,2
264,1,2,4,Research & Development,Manager,4,16792,9,No,4,22,20,8,11
267,2,4,1,Research & Development,Research Scientist,1,3564,1,Yes,3,8,8,7,1
269,2,3,2,Research & Development,Laboratory Technician,2,4425,5,No,3,10,6,2,1
270,3,3,2,Research & Development,Manufacturing Director,3,5265,2,No,3,11,5,3,0
271,4,3,2,Research & Development,Manufacturing Director,3,6553,9,No,3,14,1,0,0
273,4,3,2,Research & Development,Manufacturing Director,4,6261,3,No,3,9,7,7,1
274,3,2,2,Research & Development,Manufacturing Director,1,4298,5,No,3,6,2,2,2
275,4,3,2,Research & Development,Manufacturing Director,4,6804,1,Yes,3,7,7,7,1
277,4,3,1,Research & Development,Research Scientist,3,3815,1,Yes,3,5,5,3,2
281,3,3,2,Research & Development,Laboratory Technician,4,2741,8,Yes,3,15,7,2,3
282,2,3,2,Research & Development,Healthcare Representative,1,6673,7,Yes,3,17,1,0,0
283,2,3,3,Sales,Sales Executive,4,7639,1,No,4,10,10,4,1
284,4,4,1,Research & Development,Research Scientist,2,2328,1,Yes,3,4,4,2,2
286,2,3,1,Research & Development,Laboratory Technician,4,2153,1,No,3,8,8,1,1
287,4,2,2,Research & Development,Healthcare Representative,4,4876,9,No,3,5,3,2,0
288,4,3,3,Research & Development,Healthcare Representative,1,9396,7,No,3,17,4,2,0
291,4,1,3,Sales,Sales Executive,4,10400,1,No,3,14,14,8,9
292,3,2,3,Research & Development,Manufacturing Director,3,8474,1,No,4,12,11,8,5
293,4,3,2,Sales,Sales Executive,3,9981,1,No,3,7,7,7,0
296,2,2,3,Research & Development,Research Director,2,12490,5,No,3,16,10,9,4
297,4,3,1,Research & Development,Research Scientist,1,2657,5,Yes,3,8,5,2,0
298,4,3,3,Sales,Manager,4,13591,3,Yes,3,16,1,0,0
299,3,2,2,Sales,Sales Executive,1,6696,5,No,3,9,6,3,0
300,3,3,1,Research & Development,Research Scientist,3,2058,0,No,3,7,6,2,1
302,4,2,3,Sales,Sales Executive,4,8865,6,No,3,23,19,7,12
303,4,3,2,Sales,Sales Executive,1,5940,2,No,3,16,6,2,0
304,4,3,2,Research & Development,Laboratory Technician,2,5914,8,No,3,16,13,11,3
305,3,2,1,Research & Development,Research Scientist,2,2622,6,No,4,7,3,2,1
306,2,3,3,Research & Development,Research Director,4,12185,1,Yes,3,10,10,8,0
307,1,3,3,Sales,Sales Executive,3,10609,0,No,3,17,16,10,5
308,3,1,2,Research & Development,Manufacturing Director,3,4345,0,No,3,6,5,4,1
309,3,2,1,Research & Development,Research Scientist,4,2177,3,No,3,7,1,0,0
311,1,3,1,Sales,Sales Representative,4,2793,4,No,3,13,9,8,5
312,2,3,3,Sales,Sales Executive,4,7918,1,No,3,11,11,10,4
314,3,3,3,Sales,Sales Executive,3,8789,1,No,3,10,10,7,0
315,3,2,1,Research & Development,Research Scientist,4,2389,1,Yes,3,4,4,3,0
316,3,2,1,Research & Development,Laboratory Technician,4,3212,7,No,3,6,2,2,2
319,3,3,5,Research & Development,Manager,4,19232,1,No,3,22,22,17,11
321,2,3,1,Human Resources,Human Resources,3,2267,8,No,3,7,2,2,2
323,4,3,5,Sales,Manager,4,19517,3,No,3,32,7,0,0
325,3,3,1,Research & Development,Laboratory Technician,4,2436,5,Yes,3,8,5,4,0
327,4,3,4,Sales,Manager,4,16064,5,Yes,4,22,17,13,1
328,1,3,1,Research & Development,Laboratory Technician,1,2707,7,No,4,13,9,7,1
329,1,2,5,Sales,Manager,3,19068,1,Yes,3,33,33,7,15
330,3,3,1,Sales,Sales Representative,2,3931,2,No,3,6,4,3,1
331,4,2,1,Research & Development,Laboratory Technician,3,3730,0,Yes,3,4,3,2,1
332,3,3,1,Research & Development,Laboratory Technician,3,2232,7,No,3,7,3,2,1
333,3,3,2,Sales,Sales Executive,4,4465,0,No,3,4,3,2,2
334,3,3,2,Research & Development,Research Scientist,1,3072,2,No,3,17,1,0,0
335,1,3,2,Research & Development,Research Scientist,4,3319,1,No,3,9,9,8,4
336,3,4,5,Research & Development,Manager,4,19202,0,No,3,25,24,0,1
337,2,3,3,Research & Development,Research Director,3,13675,9,No,3,9,2,2,2
338,3,2,1,Research & Development,Research Scientist,4,2911,1,No,3,2,2,2,0
339,4,2,2,Research & Development,Manufacturing Director,1,5957,6,No,3,13,11,9,5
340,3,2,1,Research & Development,Research Scientist,1,3920,2,No,3,17,3,1,0
341,1,4,2,Research & Development,Manufacturing Director,3,6434,4,No,3,9,3,2,0
342,1,3,3,Research & Development,Manufacturing Director,3,10048,6,No,3,17,1,0,0
343,3,3,3,Research & Development,Healthcare Representative,3,10938,0,No,4,20,19,6,11
346,3,3,1,Research & Development,Research Scientist,4,2340,1,No,3,6,6,5,1
347,4,4,2,Research & Development,Research Scientist,1,6545,3,Yes,3,10,3,2,0
349,4,3,2,Sales,Sales Executive,4,6931,2,No,3,10,3,2,0
350,1,3,2,Research & Development,Manufacturing Director,3,4898,0,No,3,5,4,2,1
351,4,2,1,Research & Development,Laboratory Technician,1,2593,0,Yes,3,10,9,6,7
352,1,3,5,Research & Development,Research Director,3,19436,0,No,3,22,21,7,3
353,3,3,1,Research & Development,Research Scientist,4,2723,1,No,3,1,1,0,0
355,3,2,1,Research & Development,Laboratory Technician,2,3479,0,No,3,6,5,4,1
359,2,4,1,Research & Development,Laboratory Technician,2,2794,1,No,4,5,5,1,0
361,4,2,2,Sales,Sales Executive,4,5249,3,No,3,13,8,7,7
362,4,2,2,Research & Development,Laboratory Technician,1,2176,4,No,3,9,6,2,0
363,3,1,4,Sales,Manager,2,16872,3,Yes,3,28,7,7,7
364,1,3,1,Research & Development,Laboratory Technician,3,3485,2,No,3,5,0,0,0
366,1,2,2,Sales,Sales Executive,2,6644,2,No,3,10,0,0,0
367,2,2,2,Research & Development,Healthcare Representative,4,5582,0,No,4,10,9,0,7
369,2,4,2,Research & Development,Healthcare Representative,1,4000,1,No,3,6,6,3,1
372,3,3,4,Research & Development,Healthcare Representative,4,13496,0,Yes,3,21,20,7,4
373,4,3,1,Research & Development,Laboratory Technician,4,3210,0,No,3,16,15,13,10
374,4,3,5,Research & Development,Manager,1,19045,0,Yes,3,37,36,10,4
376,1,3,3,Research & Development,Manager,2,11849,1,Yes,3,10,10,7,9
377,4,3,1,Research & Development,Research Scientist,4,2070,1,No,4,5,5,2,0
378,3,3,2,Sales,Sales Executive,4,6502,4,No,3,7,5,4,0
379,4,2,1,Research & Development,Research Scientist,3,3230,1,No,3,3,3,2,1
380,1,3,3,Research & Development,Research Director,4,13603,2,Yes,3,15,5,2,0
381,2,4,3,Research & Development,Manager,2,11996,7,No,3,10,7,7,6
382,1,4,2,Sales,Sales Executive,1,5605,1,Yes,4,8,8,0,7
384,3,3,2,Research & Development,Manufacturing Director,2,6397,1,No,4,6,6,5,1
385,1,3,5,Research & Development,Research Director,2,19144,3,No,3,28,10,4,1
386,3,3,4,Research & Development,Research Director,3,17584,3,Yes,3,21,5,3,1
387,2,3,2,Sales,Sales Executive,3,4907,1,No,4,20,20,16,11
388,2,3,2,Sales,Sales Executive,4,4554,1,No,3,10,10,7,0
389,2,3,2,Research & Development,Laboratory Technician,4,5415,3,Yes,3,12,10,7,0
390,1,3,2,Research & Development,Healthcare Representative,1,4741,1,Yes,3,5,5,3,3
391,4,3,1,Research & Development,Research Scientist,4,2115,1,No,3,17,17,12,5
392,4,3,1,Research & Development,Laboratory Technician,3,3161,3,Yes,4,19,1,0,0
393,4,3,2,Research & Development,Healthcare Representative,4,5745,9,No,3,10,2,2,1
394,1,3,1,Research & Development,Laboratory Technician,2,2373,2,Yes,3,5,3,2,0
395,4,3,1,Research & Development,Research Scientist,4,3310,1,No,4,5,5,3,0
396,3,3,5,Research & Development,Research Director,1,18665,9,Yes,3,22,3,2,1
397,3,3,2,Research & Development,Research Scientist,2,4485,4,No,3,10,8,0,7
399,4,3,1,Sales,Sales Representative,2,2789,1,No,3,2,2,2,2
401,4,2,2,Sales,Sales Executive,4,5828,1,Yes,3,8,8,7,7
403,2,3,1,Research & Development,Research Scientist,4,2326,1,Yes,3,4,4,2,1
404,3,3,4,Sales,Sales Executive,2,13525,5,No,3,23,20,4,4
405,3,3,1,Research & Development,Laboratory Technician,3,1420,1,No,3,0,0,0,0
406,3,3,3,Sales,Sales Executive,2,8020,0,No,3,12,11,9,6
407,3,4,1,Research & Development,Laboratory Technician,4,3688,4,No,3,4,1,0,0
408,4,1,2,Research & Development,Manufacturing Director,2,5482,5,No,3,13,4,1,1
410,4,3,4,Sales,Manager,2,16015,1,No,3,22,22,10,0
411,4,2,1,Sales,Sales Representative,3,1200,1,No,3,0,0,0,0
412,2,4,2,Research & Development,Healthcare Representative,1,5661,0,No,3,9,8,3,0
416,2,4,2,Sales,Sales Executive,4,6929,4,No,3,10,8,7,7
417,3,4,3,Research & Development,Healthcare Representative,4,9613,0,No,3,19,18,10,3
419,2,3,2,Research & Development,Laboratory Technician,2,5674,7,No,3,11,9,8,0
420,4,2,2,Sales,Sales Executive,3,5484,1,No,3,13,13,8,4
421,1,2,3,Research & Development,Research Director,2,12061,3,No,3,19,10,8,0
422,4,1,2,Research & Development,Healthcare Representative,3,5660,2,Yes,3,12,5,3,1
423,3,3,1,Research & Development,Research Scientist,4,4821,0,Yes,3,6,5,2,0
424,1,2,2,Human Resources,Human Resources,1,6410,3,No,3,9,2,2,1
425,1,3,3,Research & Development,Laboratory Technician,1,5210,1,No,3,24,24,9,9
426,3,3,1,Research & Development,Research Scientist,4,2695,0,Yes,3,3,2,2,2
428,4,3,3,Research & Development,Manager,2,11878,6,No,3,12,10,6,8
429,3,3,4,Research & Development,Manager,1,17068,1,Yes,3,21,21,9,11
430,3,3,1,Research & Development,Laboratory Technician,4,2455,0,No,3,9,8,7,1
431,3,2,4,Research & Development,Healthcare Representative,3,13964,7,Yes,3,25,7,1,0
433,3,2,2,Research & Development,Research Scientist,2,4941,2,No,3,11,8,2,7
434,3,3,1,Research & Development,Research Scientist,2,2478,1,Yes,3,4,4,3,1
436,3,2,2,Sales,Sales Executive,2,5228,1,Yes,3,13,13,12,11
437,4,3,2,Sales,Sales Executive,3,4478,1,Yes,3,5,5,4,0
438,4,3,2,Sales,Sales Executive,4,7547,4,No,3,13,7,7,1
439,1,4,2,Research & Development,Research Scientist,4,5055,7,No,3,10,7,7,0
440,1,1,1,Research & Development,Research Scientist,4,3464,5,Yes,3,5,3,2,2
441,4,3,2,Research & Development,Research Scientist,4,5775,1,No,3,11,10,8,1
442,3,2,3,Research & Development,Manufacturing Director,3,8943,1,No,4,10,10,9,8
444,3,2,5,Research & Development,Manager,4,19272,1,No,3,21,21,9,13
445,4,3,2,Sales,Sales Executive,3,5238,4,Yes,3,12,1,0,0
446,2,2,2,Sales,Sales Executive,4,4682,3,No,3,9,7,7,0
447,4,3,5,Research & Development,Research Director,3,18300,4,No,3,21,3,2,1
448,3,2,2,Research & Development,Laboratory Technician,3,5257,1,No,3,9,9,7,0
449,3,3,2,Sales,Sales Executive,2,6349,0,Yes,3,6,5,4,1
450,4,3,2,Research & Development,Research Scientist,3,4869,3,No,3,20,4,3,0
451,3,3,3,Research & Development,Healthcare Representative,1,9985,8,No,3,10,1,0,0
452,4,3,2,Research & Development,Research Scientist,4,3697,9,No,3,12,10,9,9
453,2,1,2,Sales,Sales Executive,4,7457,2,Yes,4,6,4,3,0
454,2,1,1,Research & Development,Laboratory Technician,1,2119,1,Yes,3,7,7,7,0
455,2,2,1,Research & Development,Laboratory Technician,4,3983,0,No,3,4,3,2,2
456,4,2,2,Sales,Sales Executive,3,6118,1,No,3,10,10,9,1
458,2,3,2,Sales,Sales Executive,2,6214,1,No,3,8,8,7,0
