EmployeeNumber,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceLevel
22,22,16,2,Medical,Male,Divorced,No,4,4,1,Research & Development,Laboratory Technician,4,2935,1,Yes,3,1,1,0,0,Entry
23,53,2,4,Life Sciences,Female,Married,No,1,2,4,Sales,Manager,4,15427,2,No,3,31,25,8,3,Senior
24,38,2,3,Life Sciences,Male,Single,No,4,3,1,Research & Development,Research Scientist,4,3944,5,Yes,3,6,3,2,1,Entry
26,24,11,2,Other,Female,Divorced,No,1,4,2,Research & Development,Manufacturing Director,3,4011,0,No,3,5,4,2,1,Entry
27,36,9,4,Life Sciences,Male,Single,Yes,3,2,1,Sales,Sales Representative,1,3407,7,No,4,10,5,3,0,Intermediate
28,34,7,4,Life Sciences,Female,Single,No,1,3,3,Research & Development,Research Director,2,11994,0,No,3,13,12,6,2,Intermediate
30,21,15,2,Life Sciences,Male,Single,No,3,3,1,Research & Development,Research Scientist,4,1232,1,No,3,0,0,0,0,Entry
31,34,6,1,Medical,Male,Single,Yes,2,3,1,Research & Development,Research Scientist,1,2960,2,No,3,8,4,2,1,Entry
32,53,5,3,Other,Female,Divorced,No,3,3,5,Research & Development,Manager,3,19094,4,No,3,26,14,13,4,Senior
33,32,16,1,Life Sciences,Female,Single,Yes,2,1,1,Research & Development,Research Scientist,1,3919,1,Yes,4,10,10,2,6,Intermediate
35,42,8,4,Marketing,Male,Married,No,3,3,2,Sales,Sales Executive,2,6825,0,No,3,10,9,7,4,Intermediate
36,44,7,4,Medical,Female,Married,No,1,2,3,Research & Development,Healthcare Representative,4,10248,3,No,3,24,22,6,5,Senior
38,46,2,4,Marketing,Female,Single,No,2,3,5,Sales,Manager,1,18947,3,No,3,22,2,2,2,Senior
39,33,2,3,Medical,Male,Single,No,3,3,1,Research & Development,Laboratory Technician,4,2496,4,No,3,7,1,1,0,Entry
40,44,10,4,Other,Male,Married,No,4,3,2,Research & Development,Healthcare Representative,4,6465,2,Yes,3,9,4,2,1,Entry
41,30,9,2,Medical,Male,Single,No,4,2,1,Research & Development,Laboratory Technician,3,2206,1,No,3,10,10,0,1,Intermediate
42,39,5,3,Technical Degree,Male,Married,Yes,4,3,2,Sales,Sales Representative,4,2086,3,No,3,19,1,0,0,Senior
45,24,1,3,Medical,Male,Married,Yes,2,3,1,Research & Development,Research Scientist,4,2293,2,Yes,3,6,2,0,2,Entry
46,43,2,2,Medical,Female,Divorced,No,4,4,1,Research & Development,Research Scientist,3,2645,1,No,3,6,5,3,1,Entry
47,50,3,2,Marketing,Male,Married,Yes,1,2,1,Sales,Sales Representative,3,2683,1,Yes,3,3,3,2,0,Entry
49,35,2,3,Marketing,Female,Married,No,4,3,1,Sales,Sales Representative,4,2014,1,No,3,2,2,2,2,Entry
51,36,5,4,Life Sciences,Female,Married,No,2,2,1,Research & Development,Research Scientist,1,3419,9,Yes,3,6,1,1,0,Entry
52,33,1,3,Life Sciences,Female,Married,No,3,4,2,Sales,Sales Executive,1,5376,2,No,3,10,5,3,1,Intermediate
53,35,4,2,Other,Male,Divorced,No,3,3,1,Research & Development,Laboratory Technician,4,1951,1,No,3,1,1,0,0,Entry
54,27,2,4,Life Sciences,Female,Divorced,No,4,3,1,Research & Development,Laboratory Technician,1,2341,1,No,3,1,1,0,0,Entry
55,26,25,3,Life Sciences,Male,Single,Yes,1,1,1,Research & Development,Laboratory Technician,3,2293,1,No,3,1,1,0,0,Entry
56,27,8,3,Life Sciences,Male,Single,No,4,3,3,Sales,Sales Executive,3,8726,1,No,3,9,9,8,1,Entry
57,30,1,2,Medical,Female,Single,No,3,3,2,Research & Development,Laboratory Technician,4,4011,1,No,4,12,12,8,3,Intermediate
58,41,12,3,Technical Degree,Female,Married,Yes,2,3,5,Research & Development,Research Director,3,19545,1,No,3,23,22,15,15,Senior
60,34,23,4,Marketing,Male,Single,No,2,3,2,Sales,Sales Executive,3,4568,0,No,4,10,9,5,8,Intermediate
61,37,19,2,Life Sciences,Male,Married,No,2,3,1,Research & Development,Research Scientist,2,3022,4,No,4,8,1,0,0,Entry
62,46,5,4,Marketing,Male,Single,No,1,3,2,Sales,Sales Executive,4,5772,4,Yes,4,14,9,6,0,Intermediate
63,35,8,1,Life Sciences,Male,Married,No,4,4,1,Research & Development,Laboratory Technician,4,2269,1,No,3,1,1,0,0,Entry
64,48,1,2,Life Sciences,Male,Single,Yes,1,2,3,Research & Development,Laboratory Technician,3,5381,9,Yes,3,23,1,0,0,Senior
65,28,5,4,Technical Degree,Male,Single,Yes,3,3,1,Research & Development,Laboratory Technician,3,3441,1,Yes,3,2,2,2,2,Entry
68,44,1,5,Marketing,Female,Divorced,No,2,3,2,Sales,Sales Executive,1,5454,5,Yes,4,9,4,3,1,Entry
70,35,11,2,Medical,Male,Married,No,3,2,3,Research & Development,Healthcare Representative,1,9884,2,Yes,3,10,4,0,2,Intermediate
72,26,23,3,Marketing,Female,Married,No,3,2,2,Sales,Sales Executive,4,4157,7,Yes,3,5,2,2,0,Entry
73,33,1,2,Life Sciences,Female,Single,No,1,3,3,Research & Development,Research Director,4,13458,1,Yes,3,15,15,14,8,Entry
74,35,18,5,Life Sciences,Male,Married,No,2,3,3,Sales,Sales Executive,1,9069,1,No,4,9,9,8,1,Entry
75,35,23,4,Medical,Female,Married,No,3,3,1,Research & Development,Laboratory Technician,1,4014,3,Yes,3,4,2,2,2,Entry
76,31,7,4,Life Sciences,Male,Divorced,No,4,3,2,Research & Development,Laboratory Technician,4,5915,3,No,4,10,7,7,1,Intermediate
77,37,1,4,Life Sciences,Male,Divorced,No,1,2,2,Research & Development,Manufacturing Director,3,5993,1,No,3,7,7,5,0,Entry
78,32,1,3,Medical,Male,Married,No,1,3,2,Research & Development,Manufacturing Director,4,6162,1,Yes,4,9,9,8,7,Entry
79,38,29,5,Life Sciences,Female,Single,No,4,3,2,Research & Development,Laboratory Technician,4,2406,1,No,3,10,10,3,9,Intermediate
80,50,7,2,Medical,Female,Divorced,No,2,2,5,Research & Development,Research Director,3,18740,5,Yes,3,29,27,3,13,Senior
81,59,25,3,Life Sciences,Female,Single,No,1,3,3,Sales,Sales Executive,1,7637,7,No,3,28,21,16,7,Senior
83,36,8,3,Technical Degree,Female,Divorced,No,3,3,3,Research & Development,Healthcare Representative,3,10096,1,No,3,17,17,14,12,Senior
84,55,8,3,Medical,Female,Divorced,No,4,3,4,Research & Development,Manager,3,14756,2,Yes,3,21,5,0,0,Senior
85,36,11,3,Life Sciences,Male,Single,No,2,2,2,Research & Development,Manufacturing Director,2,6499,1,No,3,6,6,5,0,Entry
86,45,7,3,Life Sciences,Male,Divorced,No,2,3,3,Research & Development,Research Scientist,1,9724,2,No,3,25,1,0,0,Senior
88,35,1,3,Medical,Male,Married,No,2,3,1,Research & Development,Research Scientist,1,2194,4,No,3,5,3,2,1,Entry
90,36,9,3,Medical,Male,Married,Yes,4,2,1,Research & Development,Research Scientist,3,3388,0,Yes,3,2,1,0,0,Entry
91,59,1,1,Life Sciences,Female,Single,No,1,2,2,Sales,Sales Executive,3,5473,7,No,3,20,4,3,1,Senior
94,29,2,3,Life Sciences,Male,Married,No,3,3,1,Research & Development,Research Scientist,2,2703,0,No,4,6,5,4,0,Entry
95,31,1,4,Medical,Male,Single,No,3,3,1,Research & Development,Research Scientist,2,2501,1,No,3,1,1,1,1,Entry
96,32,1,3,Life Sciences,Male,Married,No,2,3,2,Research & Development,Research Scientist,2,6220,1,No,3,10,10,4,0,Intermediate
97,36,6,3,Life Sciences,Female,Married,No,2,4,1,Research & Development,Laboratory Technician,4,3038,3,No,3,5,1,0,0,Entry
98,31,8,4,Life Sciences,Female,Single,No,3,3,2,Research & Development,Manufacturing Director,4,4424,1,No,4,11,11,7,1,Intermediate
100,35,1,4,Marketing,Male,Single,No,3,2,2,Sales,Sales Executive,1,4312,0,No,3,16,15,13,2,Senior
101,45,6,4,Other,Male,Married,No,4,3,3,Research & Development,Research Director,1,13245,4,Yes,3,17,0,0,0,Senior
102,37,7,4,Medical,Male,Single,No,1,3,3,Research & Development,Research Director,3,13664,4,No,3,16,5,2,0,Senior
103,46,5,2,Medical,Male,Divorced,No,2,3,2,Human Resources,Human Resources,2,5021,8,Yes,4,16,4,2,0,Senior
104,30,1,1,Life Sciences,Male,Married,No,4,2,2,Research & Development,Laboratory Technician,4,5126,1,Yes,3,10,10,8,3,Intermediate
105,35,1,3,Medical,Male,Single,No,2,2,1,Research & Development,Research Scientist,3,2859,1,No,3,6,6,4,0,Entry
106,55,1,2,Life Sciences,Male,Married,No,1,3,3,Sales,Sales Executive,4,10239,3,No,3,24,1,0,1,Senior
107,38,6,3,Medical,Female,Divorced,No,2,1,2,Research & Development,Research Scientist,4,5329,7,Yes,3,17,13,11,1,Senior
110,34,1,2,Medical,Male,Married,No,1,3,2,Research & Development,Manufacturing Director,2,4325,1,No,3,5,5,2,1,Entry
112,56,7,3,Life Sciences,Male,Single,No,4,1,3,Research & Development,Manufacturing Director,4,7260,4,No,3,37,6,4,0,Senior
113,23,2,1,Technical Degree,Male,Divorced,No,3,3,1,Sales,Sales Representative,1,2322,3,No,3,3,0,0,0,Entry
116,51,9,4,Life Sciences,Male,Married,No,4,3,1,Research & Development,Laboratory Technician,4,2075,3,No,4,10,4,2,0,Intermediate
117,30,2,3,Life Sciences,Male,Married,No,3,2,2,Research & Development,Healthcare Representative,4,4152,1,No,3,11,11,10,10,Intermediate
118,46,9,2,Medical,Male,Single,Yes,3,2,3,Sales,Sales Executive,4,9619,1,No,3,9,9,8,4,Entry
119,40,1,4,Life Sciences,Male,Married,No,3,2,4,Research & Development,Healthcare Representative,2,13503,1,No,4,22,22,3,11,Senior
120,51,21,4,Marketing,Male,Single,No,3,3,2,Sales,Sales Executive,4,5441,0,Yes,4,11,10,7,1,Intermediate
121,30,4,2,Medical,Female,Divorced,No,3,2,2,Sales,Sales Executive,2,5209,1,Yes,3,11,11,8,2,Intermediate
124,46,1,3,Medical,Male,Married,No,3,2,3,Research & Development,Healthcare Representative,1,10673,2,Yes,3,21,10,9,9,Senior
125,32,6,4,Medical,Male,Single,No,2,3,2,Sales,Sales Executive,3,5010,1,No,3,12,11,8,5,Intermediate
126,54,2,4,Technical Degree,Female,Married,No,1,3,3,Research & Development,Research Director,3,13549,9,No,3,16,4,3,0,Senior
128,24,3,2,Other,Female,Married,No,1,3,2,Sales,Sales Executive,3,4999,0,No,4,4,3,2,0,Entry
129,28,4,3,Medical,Male,Married,No,2,3,2,Sales,Sales Executive,3,4221,1,No,3,5,5,4,0,Entry
131,58,10,4,Medical,Male,Single,No,4,3,4,Sales,Sales Executive,3,13872,0,No,3,38,37,10,1,Senior
132,44,23,3,Medical,Male,Married,No,2,3,2,Research & Development,Laboratory Technician,2,2042,4,No,3,17,3,2,1,Senior
133,37,6,4,Human Resources,Male,Divorced,Yes,3,3,1,Human Resources,Human Resources,1,2073,4,Yes,4,7,3,2,0,Entry
134,32,1,1,Life Sciences,Male,Single,No,4,3,1,Research & Development,Research Scientist,1,2956,1,No,3,1,1,0,0,Entry
137,20,6,3,Life Sciences,Female,Single,Yes,4,2,1,Research & Development,Laboratory Technician,4,2926,1,Yes,3,1,1,0,1,Entry
138,34,6,4,Other,Female,Single,No,1,3,2,Research & Development,Research Scientist,3,4809,1,No,3,16,16,13,2,Senior
139,37,2,2,Life Sciences,Male,Divorced,No,3,2,2,Research & Development,Healthcare Representative,4,5163,5,No,3,17,1,0,0,Senior
140,59,2,4,Human Resources,Female,Married,No,3,2,5,Human Resources,Manager,4,18844,9,No,4,30,3,2,2,Senior
141,50,1,3,Life Sciences,Female,Married,No,1,3,5,Research & Development,Research Director,2,18172,3,Yes,3,28,8,3,0,Senior
142,25,5,3,Marketing,Male,Single,Yes,3,2,2,Sales,Sales Executive,3,5744,1,Yes,3,6,6,4,0,Entry
143,25,7,1,Medical,Male,Married,No,4,2,1,Research & Development,Research Scientist,4,2889,1,No,3,2,2,2,2,Entry
144,22,15,3,Medical,Female,Single,No,2,3,1,Research & Development,Laboratory Technician,4,2871,1,No,3,1,0,0,0,Entry
145,51,1,4,Medical,Female,Single,No,1,2,3,Research & Development,Healthcare Representative,1,7484,3,No,4,23,13,12,12,Senior
147,34,7,3,Life Sciences,Male,Single,Yes,1,1,2,Research & Development,Laboratory Technician,3,6074,1,Yes,4,9,9,7,0,Entry
148,54,26,3,Human Resources,Female,Single,No,4,4,4,Human Resources,Manager,4,17328,2,Yes,3,23,5,3,4,Senior
150,24,18,1,Life Sciences,Male,Married,No,2,3,1,Research & Development,Laboratory Technician,3,2774,0,No,3,6,5,3,1,Entry
151,34,6,4,Life Sciences,Female,Divorced,No,3,2,2,Research & Development,Research Scientist,2,4505,6,No,3,12,1,0,0,Intermediate
152,37,3,3,Life Sciences,Male,Single,No,3,3,3,Sales,Sales Executive,4,7428,2,No,3,12,5,3,1,Intermediate
153,34,5,3,Medical,Female,Single,No,3,2,3,Research & Development,Manager,1,11631,2,No,3,14,11,10,5,Intermediate
154,36,11,2,Technical Degree,Female,Married,No,2,3,3,Sales,Sales Executive,4,9738,0,No,3,10,9,7,2,Intermediate
155,36,3,2,Life Sciences,Female,Divorced,No,1,3,1,Research & Development,Laboratory Technician,4,2835,5,No,4,7,1,0,0,Entry
158,43,26,2,Life Sciences,Male,Married,No,3,3,4,Sales,Manager,4,16959,1,Yes,3,25,25,12,4,Senior
159,30,23,3,Life Sciences,Male,Divorced,No,1,1,1,Research & Development,Research Scientist,3,2613,1,No,4,10,10,7,0,Intermediate
160,33,22,2,Marketing,Male,Married,No,3,3,2,Sales,Sales Executive,2,6146,0,No,3,8,7,7,0,Entry
161,56,14,4,Life Sciences,Female,Married,Yes,2,3,1,Research & Development,Research Scientist,2,4963,9,Yes,3,7,5,4,4,Entry
162,51,6,3,Life Sciences,Male,Single,No,1,3,5,Research & Development,Research Director,3,19537,7,No,3,23,20,18,15,Senior
163,31,6,4,Life Sciences,Male,Married,Yes,2,1,2,Sales,Sales Executive,3,6172,4,Yes,3,12,7,7,7,Intermediate
164,26,6,3,Other,Female,Married,No,3,2,1,Research & Development,Research Scientist,2,2368,1,No,3,5,5,4,4,Entry
165,58,23,4,Medical,Female,Married,Yes,4,3,3,Research & Development,Healthcare Representative,4,10312,1,No,3,40,40,10,15,Senior
167,19,22,1,Marketing,Male,Single,Yes,4,3,1,Sales,Sales Representative,3,1675,1,Yes,3,0,0,0,0,Entry
169,22,2,1,Technical Degree,Male,Married,No,3,3,1,Research & Development,Laboratory Technician,4,2523,0,No,3,3,2,1,2,Entry
170,49,20,4,Medical,Female,Married,No,3,3,2,Research & Development,Manufacturing Director,1,6567,1,No,3,16,15,11,5,Senior
171,43,28,3,Medical,Female,Single,No,2,4,1,Research & Development,Research Scientist,3,4739,4,No,3,18,3,2,1,Senior
174,50,12,3,Marketing,Female,Single,No,3,3,3,Sales,Sales Executive,4,9208,4,No,3,16,2,2,2,Senior
175,31,20,3,Life Sciences,Female,Married,Yes,2,1,2,Sales,Sales Executive,3,4559,3,Yes,3,4,2,2,2,Entry
176,41,9,1,Life Sciences,Male,Divorced,No,3,3,3,Sales,Sales Executive,3,8189,3,Yes,3,12,9,7,0,Intermediate
177,26,25,1,Life Sciences,Female,Married,No,3,3,1,Human Resources,Human Resources,3,2942,1,No,4,8,8,7,5,Entry
178,36,6,2,Medical,Male,Divorced,No,2,3,2,Research & Development,Manufacturing Director,2,4941,6,No,4,7,3,2,0,Entry
179,51,8,4,Life Sciences,Male,Single,Yes,1,1,3,Research & Development,Manufacturing Director,4,10650,2,No,3,18,4,2,0,Senior
182,39,4,4,Life Sciences,Female,Married,No,4,2,2,Sales,Sales Executive,3,5902,4,No,3,17,15,11,5,Senior
183,25,28,3,Life Sciences,Male,Married,No,1,2,2,Sales,Sales Executive,3,8639,2,No,3,6,2,2,2,Entry
184,30,9,3,Human Resources,Male,Married,No,3,3,2,Human Resources,Human Resources,4,6347,0,Yes,3,12,11,9,4,Intermediate
190,32,9,3,Medical,Female,Single,Yes,1,3,1,Research & Development,Laboratory Technician,1,4200,7,No,4,10,5,4,0,Intermediate
192,45,29,3,Medical,Male,Single,No,3,3,1,Research & Development,Research Scientist,4,3452,5,No,3,9,6,5,0,Entry
193,38,3,5,Technical Degree,Female,Single,No,4,3,2,Research & Development,Research Scientist,3,4317,3,Yes,4,19,3,2,2,Senior
194,30,18,3,Life Sciences,Female,Single,No,1,3,1,Research & Development,Research Scientist,3,2632,1,No,3,5,5,4,0,Entry
195,32,9,2,Medical,Male,Divorced,No,4,1,2,Sales,Sales Executive,4,4668,0,No,3,9,8,7,0,Entry
197,30,5,3,Technical Degree,Female,Divorced,No,4,3,1,Research & Development,Research Scientist,1,3204,5,No,3,8,3,2,2,Entry
198,30,2,1,Medical,Male,Single,No,2,2,1,Research & Development,Laboratory Technician,4,2720,0,No,3,6,5,3,1,Entry
199,41,10,3,Life Sciences,Male,Divorced,No,4,2,4,Research & Development,Manager,1,17181,4,No,3,21,7,6,7,Senior
200,41,9,4,Life Sciences,Male,Married,No,3,3,1,Research & Development,Laboratory Technician,1,2238,2,No,4,7,5,0,1,Entry
201,19,3,1,Medical,Female,Single,No,2,3,1,Research & Development,Laboratory Technician,2,1483,1,No,3,1,1,0,0,Entry
202,40,26,3,Medical,Female,Divorced,No,2,3,2,Research & Development,Research Scientist,2,5605,1,No,3,20,20,7,2,Senior
204,35,1,5,Marketing,Male,Married,No,3,3,3,Sales,Sales Executive,2,7295,1,No,3,10,10,8,0,Intermediate
205,53,6,2,Marketing,Male,Married,No,2,3,2,Sales,Sales Representative,3,2306,2,Yes,4,13,7,7,4,Intermediate
206,45,9,3,Life Sciences,Male,Divorced,No,2,3,2,Research & Development,Laboratory Technician,2,2348,8,No,3,20,17,9,0,Senior
207,32,8,3,Marketing,Female,Single,No,2,3,3,Sales,Sales Executive,4,8998,1,No,3,9,9,8,3,Entry
208,29,1,1,Technical Degree,Male,Married,No,4,3,2,Research & Development,Manufacturing Director,3,4319,1,No,3,10,10,7,0,Intermediate
211,51,7,4,Medical,Male,Married,No,2,2,2,Research & Development,Manufacturing Director,3,6132,2,No,3,10,1,0,0,Intermediate
214,58,9,3,Medical,Female,Married,No,2,2,1,Research & Development,Research Scientist,2,3346,4,Yes,4,9,1,0,0,Entry
215,40,4,4,Marketing,Male,Married,No,3,2,3,Sales,Sales Executive,4,10855,7,No,3,15,12,11,2,Entry
216,34,2,4,Marketing,Female,Married,No,3,3,1,Sales,Sales Representative,3,2231,6,No,3,6,4,3,1,Entry
217,22,19,1,Medical,Male,Married,No,3,3,1,Research & Development,Research Scientist,4,2323,1,No,4,2,2,2,2,Entry
218,27,9,3,Medical,Male,Divorced,No,4,3,1,Research & Development,Research Scientist,2,2024,6,No,3,6,2,2,2,Entry
221,28,21,3,Medical,Male,Married,No,3,3,1,Research & Development,Research Scientist,4,2713,1,No,3,5,5,2,0,Entry
223,57,24,2,Life Sciences,Male,Divorced,No,3,4,3,Research & Development,Healthcare Representative,4,9439,3,Yes,3,12,5,3,1,Intermediate
224,27,3,3,Medical,Male,Divorced,No,3,2,1,Research & Development,Research Scientist,3,2566,1,Yes,3,1,1,1,0,Entry
226,50,11,3,Life Sciences,Female,Single,No,3,3,5,Research & Development,Manager,2,19926,3,No,3,21,5,4,4,Senior
227,41,14,3,Life Sciences,Male,Divorced,No,1,3,1,Research & Development,Research Scientist,3,2451,4,No,3,13,9,8,1,Intermediate
228,30,5,3,Life Sciences,Female,Married,No,2,3,3,Sales,Sales Executive,4,9419,2,No,3,12,10,9,7,Intermediate
230,38,1,4,Life Sciences,Female,Single,No,1,2,2,Sales,Sales Executive,4,8686,4,No,4,12,8,3,0,Intermediate
231,32,6,5,Life Sciences,Male,Single,No,3,3,1,Research & Development,Research Scientist,3,3038,3,No,4,8,5,4,1,Entry
233,27,17,3,Technical Degree,Male,Married,No,3,3,1,Research & Development,Research Scientist,2,3058,0,Yes,3,6,5,2,1,Entry
235,19,1,1,Technical Degree,Female,Single,Yes,3,1,1,Sales,Sales Representative,1,2325,0,No,4,1,0,0,0,Entry
238,36,3,2,Medical,Male,Single,No,4,3,1,Research & Development,Laboratory Technician,2,2088,4,No,3,13,8,7,7,Intermediate
239,30,9,3,Medical,Male,Divorced,No,3,3,2,Research & Development,Laboratory Technician,1,3072,1,No,3,12,12,9,6,Intermediate
240,45,4,2,Life Sciences,Female,Divorced,No,3,3,2,Sales,Sales Executive,1,5006,4,Yes,3,9,5,4,0,Entry
241,56,8,3,Life Sciences,Female,Divorced,No,3,3,1,Research & Development,Research Scientist,1,4257,4,Yes,3,19,2,2,2,Senior
242,33,2,3,Life Sciences,Male,Single,No,3,3,1,Research & Development,Research Scientist,4,2500,0,No,3,4,3,1,0,Entry
243,19,2,3,Life Sciences,Male,Single,Yes,2,2,1,Research & Development,Laboratory Technician,4,1102,1,No,4,1,1,0,1,Entry
244,46,1,2,Marketing,Female,Divorced,No,2,3,3,Sales,Sales Executive,1,10453,1,No,4,24,24,13,15,Senior
245,38,9,2,Life Sciences,Female,Single,No,3,3,1,Research & Development,Laboratory Technician,4,2288,1,No,3,2,2,2,2,Entry
246,31,12,1,Medical,Female,Married,No,3,3,1,Research & Development,Research Scientist,4,3929,8,Yes,4,7,4,2,0,Entry
247,34,27,2,Medical,Female,Single,No,4,3,1,Research & Development,Research Scientist,2,2311,2,No,3,9,3,2,1,Entry
248,41,20,2,Marketing,Female,Single,Yes,2,3,1,Sales,Sales Representative,2,3140,1,Yes,4,4,4,3,0,Entry
249,50,1,3,Medical,Male,Married,No,3,2,1,Research & Development,Laboratory Technician,3,3690,2,No,3,5,3,2,0,Entry
250,53,13,2,Medical,Female,Divorced,No,4,4,2,Research & Development,Manufacturing Director,1,4450,1,No,3,5,4,2,1,Entry
252,33,14,3,Medical,Female,Married,No,4,3,1,Research & Development,Research Scientist,2,2756,1,No,3,8,8,7,1,Entry
253,40,4,1,Medical,Female,Married,No,4,3,5,Research & Development,Manager,3,19033,1,No,3,21,20,8,9,Senior
254,55,14,4,Medical,Male,Single,No,3,4,5,Research & Development,Research Director,2,18722,8,No,3,36,24,15,2,Senior
256,34,2,1,Life Sciences,Male,Married,No,4,2,2,Research & Development,Manufacturing Director,3,9547,1,No,3,10,10,9,1,Intermediate
258,51,3,3,Medical,Female,Single,No,4,3,4,Research & Development,Healthcare Representative,2,13734,3,No,3,21,7,7,1,Senior
259,52,1,4,Life Sciences,Male,Married,No,3,2,5,Research & Development,Manager,3,19999,0,No,3,34,33,18,11,Senior
260,27,9,3,Medical,Female,Single,No,4,3,1,Research & Development,Research Scientist,2,2279,1,No,3,7,7,7,0,Entry
261,35,23,2,Life Sciences,Male,Married,Yes,2,2,2,Research & Development,Manufacturing Director,3,5916,3,Yes,3,8,1,0,0,Entry
262,43,7,3,Medical,Male,Divorced,No,4,4,1,Research & Development,Research Scientist,4,2089,4,No,3,7,5,4,2,Entry
264,45,2,2,Medical,Male,Married,No,1,2,4,Research & Development,Manager,4,16792,9,No,4,22,20,8,11,Senior
267,37,21,3,Life Sciences,Male,Married,No,2,4,1,Research & Development,Research Scientist,1,3564,1,Yes,3,8,8,7,1,Entry
269,35,2,3,Medical,Female,Single,No,2,3,2,Research & Development,Laboratory Technician,2,4425,5,No,3,10,6,2,1,Intermediate
270,42,21,2,Medical,Female,Divorced,No,3,3,2,Research & Development,Manufacturing Director,3,5265,2,No,3,11,5,3,0,Intermediate
271,38,2,4,Life Sciences,Male,Married,No,4,3,2,Research & Development,Manufacturing Director,3,6553,9,No,3,14,1,0,0,Intermediate
273,38,29,3,Technical Degree,Male,Married,No,4,3,2,Research & Development,Manufacturing Director,4,6261,3,No,3,9,7,7,1,Entry
274,27,1,1,Technical Degree,Male,Married,No,3,2,2,Research & Development,Manufacturing Director,1,4298,5,No,3,6,2,2,2,Entry
275,49,18,4,Life Sciences,Male,Divorced,No,4,3,2,Research & Development,Manufacturing Director,4,6804,1,Yes,3,7,7,7,1,Entry
277,34,10,4,Medical,Male,Divorced,No,4,3,1,Research & Development,Research Scientist,3,3815,1,Yes,3,5,5,3,2,Entry
281,40,19,2,Medical,Male,Married,No,3,3,2,Research & Development,Laboratory Technician,4,2741,8,Yes,3,15,7,2,3,Entry
282,38,29,1,Medical,Male,Married,Yes,2,3,2,Research & Development,Healthcare Representative,1,6673,7,Yes,3,17,1,0,0,Senior
283,29,27,3,Marketing,Female,Married,Yes,2,3,3,Sales,Sales Executive,4,7639,1,No,4,10,10,4,1,Intermediate
284,22,5,3,Life Sciences,Male,Divorced,No,4,4,1,Research & Development,Research Scientist,2,2328,1,Yes,3,4,4,2,2,Entry
286,36,18,1,Medical,Female,Single,No,2,3,1,Research & Development,Laboratory Technician,4,2153,1,No,3,8,8,1,1,Entry
